System,Dataset,MAE_1e_08,RMSE_1e_08,MAPE_1e_08,MAE_1e_05,RMSE_1e_05,MAPE_1e_05,MAE_1_0,RMSE_1_0,MAPE_1_0,MAE_10_0,RMSE_10_0,MAPE_10_0,Best_Ridge,MAE_Best,RMSE_Best,MAPE_Best
sd,sd_crew_cif_short.y4m-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.241768,0.311402,0.606159,0.241768,0.311402,0.606159,0.241727,0.311376,0.605600,0.241368,0.311184,0.600631,1.864421,0.241692,0.311355,0.605117
sintel,sintel_trailer_2k_720p24_short.y4m-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.368039,0.462616,0.505118,0.368039,0.462616,0.505118,0.367987,0.462583,0.504641,0.367543,0.462360,0.500434,0.295782,0.368023,0.462606,0.504977
ambivert.wav.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,ambivert.wav.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,13.289626,17.171698,1.369745,13.289626,17.171698,1.369745,13.289665,17.171621,1.369205,13.290128,17.171360,1.364372,4.495501,13.289842,17.171429,1.367321
artificl.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,artificl.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.006338,0.007566,0.280226,0.006338,0.007566,0.280226,0.006338,0.007566,0.280228,0.006335,0.007564,0.280238,6.330260,0.006336,0.007565,0.280234
deepfield.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,deepfield.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,5.819886,8.056365,0.618683,5.819886,8.056365,0.618683,5.819461,8.056460,0.618403,5.815853,8.057663,0.615915,6.330260,5.817273,8.057097,0.616921
enwik8.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,enwik8.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,72.729351,95.710329,1.999608,72.729351,95.710329,1.999608,72.720527,95.709726,1.998734,72.641706,95.705972,1.990912,4.495501,72.689769,95.707912,1.995686
fannie,fannie_mae_500k.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,30.285165,36.208266,0.901107,30.285165,36.208266,0.901107,30.281558,36.207754,0.900692,30.292793,36.233747,0.897007,6.330260,30.305380,36.234474,0.898454
large.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,large.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,1.870370,2.316915,0.428275,1.870370,2.316915,0.428275,1.870093,2.316899,0.428099,1.867691,2.316894,0.426553,1.863395,1.869854,2.316887,0.427947
misc.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,misc.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.088052,0.118002,0.225363,0.088052,0.118002,0.225363,0.088041,0.118011,0.225255,0.087944,0.118096,0.224307,6.330260,0.087983,0.118060,0.224690
silesia.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,silesia.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,61.868859,78.091520,0.949767,61.868859,78.091520,0.949767,61.862321,78.091841,0.949385,61.804219,78.096316,0.945972,1.537280,61.858813,78.092029,0.949180
uiq-32.bin-weka.filters.unsupervised.attribute.ReplaceMissingValues,uiq-32.bin-weka.filters.unsupervised.attribute.ReplaceMissingValues,73.686036,93.871930,1.216902,73.686036,93.871930,1.216902,73.679029,93.874022,1.216340,73.579855,93.887047,1.209412,6.330260,73.642027,93.886541,1.213360
uiq2-16.bin-weka.filters.unsupervised.attribute.ReplaceMissingValues,uiq2-16.bin-weka.filters.unsupervised.attribute.ReplaceMissingValues,32.613486,43.700396,1.089194,32.613486,43.700396,1.089194,32.610439,43.701688,1.088678,32.583556,43.714871,1.084083,6.330260,32.594377,43.709164,1.085946
uiq2-4.bin-weka.filters.unsupervised.attribute.ReplaceMissingValues,uiq2-4.bin-weka.filters.unsupervised.attribute.ReplaceMissingValues,4.405641,6.050815,0.618353,4.405641,6.050815,0.618353,4.404840,6.051069,0.617995,4.397870,6.053667,0.614828,6.330260,4.400640,6.052542,0.616103
uiq2-8.bin-weka.filters.unsupervised.attribute.ReplaceMissingValues,uiq2-8.bin-weka.filters.unsupervised.attribute.ReplaceMissingValues,12.300783,17.369194,0.828553,12.300783,17.369194,0.828553,12.299157,17.370113,0.828124,12.285094,17.379013,0.824345,6.330260,12.290722,17.375251,0.825868
vmlinux-5.10.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,vmlinux-5.10.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,1.919143,2.322938,0.290020,1.919143,2.322938,0.290020,1.918930,2.322945,0.289893,1.917127,2.323184,0.288771,6.330260,1.917843,2.323049,0.289224
AUFNIRA,AUFNIRA_z3.637557.smt2-weka.filters.unsupervised.attribute.ReplaceMissingValues,88.047161,99.471993,7.379670,88.047161,99.471993,7.379670,88.049653,99.473642,7.369755,88.071542,99.504512,7.281726,8.212013,88.067269,99.496136,7.299044
LRA,LRA_formula_277.smt2-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.318505,0.323373,0.111736,0.318505,0.323373,0.111736,0.318556,0.323345,0.111835,0.319027,0.323610,0.112776,2.348896,0.318624,0.323318,0.111967
QF,QF_AUFBV_891_sqlite3.smt2-weka.filters.unsupervised.attribute.ReplaceMissingValues,9.806259,12.639327,4.947550,9.806258,12.639327,4.947550,9.799178,12.639405,4.940671,9.736986,12.642975,4.879745,1.424627,9.796178,12.639458,4.937756
QF,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.946680,1.154674,0.127168,0.946680,1.154674,0.127168,0.946026,1.154834,0.126804,0.940230,1.157435,0.123577,0.000000,0.946680,1.154674,0.127168
QF,QF_BV_bench_3176.smt2-weka.filters.unsupervised.attribute.ReplaceMissingValues,131.108251,152.441021,9.395054,131.108252,152.441021,9.395054,131.111896,152.459394,9.393131,131.187454,152.648138,9.376269,2.323550,131.117928,152.484533,9.390600
QF,QF_BV_bench_935.smt2-weka.filters.unsupervised.attribute.ReplaceMissingValues,92.700263,96.122026,16.112345,92.700263,96.122027,16.112345,92.724019,96.131029,16.106500,92.934416,96.230554,16.054757,2.348896,92.755942,96.143841,16.098647
QF,QF_LIA_tightrhombus-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.551865,0.767019,0.766138,0.551865,0.767019,0.766138,0.551899,0.767005,0.767425,0.554204,0.767610,0.779741,1.424627,0.551920,0.767004,0.767976
QF,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.743861,0.876391,0.053685,0.743861,0.876391,0.053685,0.743821,0.876255,0.053792,0.743488,0.876531,0.054749,1.035800,0.743820,0.876250,0.053796
QF,QF_NRA_hong_9.smt2-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.009571,0.017485,0.002182,0.009571,0.017485,0.002182,0.009725,0.017718,0.002221,0.020349,0.025706,0.004897,0.000000,0.009571,0.017485,0.002182
QF,QF_RDL_orb08_888.smt2-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.271998,0.340634,0.029237,0.271998,0.340634,0.029237,0.271389,0.340695,0.029148,0.266651,0.342992,0.028425,0.000000,0.271998,0.340634,0.029237
QF,QF_UFLIA_xs_23_43.smt2-weka.filters.unsupervised.attribute.ReplaceMissingValues,8.304800,10.121711,0.362369,8.304800,10.121711,0.362369,8.302147,10.122265,0.362143,8.279204,10.129572,0.360144,1.035800,8.302052,10.122285,0.362134
QF,QF_UF_PEQ018_size6.smt2-weka.filters.unsupervised.attribute.ReplaceMissingValues,164.661894,208.145255,9.478923,164.661893,208.145255,9.478923,164.607973,208.154648,9.467225,164.149498,208.256729,9.365940,8.212013,164.237417,208.233999,9.385410
