Dataset,Ridge,MAE,RMSE,MAPE
sd_bridge_close_cif_short.y4m,0.00000001,0.140257,0.177654,0.528980
sd_bridge_close_cif_short.y4m,0.00010000,0.139127,0.178729,0.506162
sd_bridge_close_cif_short.y4m,1.00000000,0.140246,0.179151,0.510685
sd_bridge_close_cif_short.y4m,10.00000000,0.143305,0.181282,0.545595
sd_bridge_close_cif_short.y4m,8.00105984,0.134287,0.172173,0.493278
sd_city_4cif_short.y4m,0.00000001,1.462401,1.855123,0.814956
sd_city_4cif_short.y4m,0.00010000,1.477039,1.907900,0.816735
sd_city_4cif_short.y4m,1.00000000,1.478839,1.892815,0.821133
sd_city_4cif_short.y4m,10.00000000,1.477394,1.890529,0.845436
sd_city_4cif_short.y4m,8.00105984,1.418930,1.814622,0.781082
sd_crew_cif_short.y4m,0.00000001,0.242458,0.309591,0.617204
sd_crew_cif_short.y4m,0.00010000,0.244184,0.316419,0.617672
sd_crew_cif_short.y4m,1.00000000,0.245465,0.315864,0.615262
sd_crew_cif_short.y4m,10.00000000,0.246695,0.318380,0.631874
sd_crew_cif_short.y4m,8.00105984,0.235533,0.301556,0.588044
sintel_trailer_2k_720p24_short.y4m,0.00000001,0.366902,0.456649,0.518343
sintel_trailer_2k_720p24_short.y4m,0.00010000,0.369866,0.468903,0.500672
sintel_trailer_2k_720p24_short.y4m,1.00000000,0.366775,0.458895,0.507190
sintel_trailer_2k_720p24_short.y4m,10.00000000,0.367939,0.456325,0.536010
sintel_trailer_2k_720p24_short.y4m,4.54783086,0.357705,0.447668,0.493967
ambivert.wav.tar,0.00000001,12.963092,16.880279,1.277775
ambivert.wav.tar,0.00010000,13.124552,16.887093,1.339905
ambivert.wav.tar,1.00000000,13.869871,17.787036,1.377246
ambivert.wav.tar,10.00000000,12.833588,16.783965,1.311362
ambivert.wav.tar,6.33025995,12.959411,16.557031,1.302773
artificl.tar,0.00000001,0.006391,0.007618,0.276030
artificl.tar,0.00010000,0.006518,0.007783,0.307403
artificl.tar,1.00000000,0.006328,0.007479,0.280522
artificl.tar,10.00000000,0.006257,0.007461,0.294043
artificl.tar,6.33025995,0.006285,0.007505,0.280851
deepfield.tar,0.00000001,6.124774,8.449232,0.612058
deepfield.tar,0.00010000,5.947688,8.993276,0.604311
deepfield.tar,1.00000000,5.693458,7.838380,0.604278
deepfield.tar,10.00000000,5.671484,7.748353,0.621990
deepfield.tar,6.33025995,5.532421,7.502786,0.609927
enwik8.tar,0.00000001,70.070160,92.698343,1.915914
enwik8.tar,0.00010000,72.264737,91.532207,2.008650
enwik8.tar,1.00000000,75.727015,101.742039,1.957831
enwik8.tar,10.00000000,68.445446,89.877648,1.950295
enwik8.tar,6.33025995,67.945106,86.288331,1.962158
fannie_mae_500k.tar,0.00000001,30.069050,36.061452,0.859419
fannie_mae_500k.tar,0.00010000,29.955412,35.710269,0.910328
fannie_mae_500k.tar,1.00000000,30.487974,36.622109,0.893587
fannie_mae_500k.tar,10.00000000,29.536190,35.726499,0.915399
fannie_mae_500k.tar,6.33025995,29.570216,35.952068,0.848618
large.tar,0.00000001,1.886097,2.337395,0.423037
large.tar,0.00010000,1.834805,2.260508,0.436075
large.tar,1.00000000,1.823996,2.240652,0.416655
large.tar,10.00000000,1.803360,2.255326,0.423204
large.tar,4.49550129,1.831985,2.330832,0.407818
misc.tar,0.00000001,0.085141,0.112193,0.227010
misc.tar,0.00010000,0.087112,0.113229,0.222141
misc.tar,1.00000000,0.089529,0.119182,0.220042
misc.tar,10.00000000,0.086042,0.116871,0.225926
misc.tar,4.49550129,0.087446,0.113653,0.235807
